"Employees Allowed to Raise Requisitions*","Scope for Raising Requisitions*"
"Senior Manager JR","Designations in User's L1 Department Hierarchy"
"TPL.HR.TA.ETA,TPL.HR.TA.SETA,PSI.HR.TA.TAE",Organization-wide
