"Self Generation Setting ID*","HR Letter Generation Setting Name*","Select Company*","Select Company Code*","User Assignment*","Letter Generation Access","Default Letter Head-HTML*","Default Letter Head-DOCX","Default Signing Authority 1","Default Signing Authority 2","Default Signing Authority 3","Default Signing Authority 4","Default Signature 1","Default Signature 2","Default Signature 3","Default Signature 4",Status,"Created On","Updated On","Updated By"
SELFGEN_1,PSI,"PrimeSoft,PrimeSoft IP Solutions Private Limited.,Igenero Web Solutions Private Limited",",PSI,IWSPL",,"[REDACTED],[REDACTED],[REDACTED]",LETHEAD_2,LETHEAD_1,SIGNAUTH_3,SIGNAUTH_2,SIGNAUTH_6,,[REDACTED],[REDACTED],[REDACTED],,Active,"05-12-2023 10:41:37","28-12-2023 16:27:00","Darwinbox Admin"
SELFGEN_2,Tejora,"Tejora Private Limited",TPL,,"[REDACTED],[REDACTED],[REDACTED]",LETHEAD_3,LETHEAD_4,SIGNAUTH_3,SIGNAUTH_4,SIGNAUTH_5,,[REDACTED],[REDACTED],[REDACTED],,Active,"05-12-2023 10:42:15","28-12-2023 16:33:41","Darwinbox Admin"
