"Assignment Name","Assignment Code",Description,"Applicable for Process","Business Unit","Employee Type","Employee Sub Type","Parent Company",Department,"Designation Name",Grade,Band,"Pay Scale","Office Location",Division,"Contribution Level","Employee Group","Notice Period from Employee","Appraisal Period","Location Type","Location Region","Job Family","Functional Area(Not Applicable)","Project Allocated",Gender,Nationality,"Marital Status",Timezone,"Employee Status","Current Address Country","Permanent Address Country","Designation Role Category",Salutation,"Blood Group","Designation Title(Not Applicable)",Capability,"Current Address State","Current Address City","Permanent Address State","Permanent Address City","Company Country","Pay Group","PF Applicability","PF Restriction","ESIC Applicable","LWF Applicable","EPS Applicability","PT Applicability","TDS Applicability","On Probation","On Notice","Manager Level","Is HOD","Is HRBP","Is Standard Role 1","Is Standard Role 2","Is Standard Role 3","Designation Exempt Status","Rotational Shift - Biographical","Sub Community Details - Biographical","Emergency Contact Relation - Emergency","Second Emergency Contact Relation - Emergency","Employee Group - Employment","Client Office Location - Employment","Performance Appraisal Month - Employment","Contract Status - Employment","Work Type - Employment","Experience From DOJ Condition","Experience From DOJ Date Range 1","Experience From DOJ Date Range 2","Experience From Group DOJ Condition","Experience From Group DOJ Date Range 1","Experience From Group DOJ Date Range 2","Age Condition","Age Date Range 1","Age Date Range 2","Experience in Current Role Condition","Experience in Current Role Date Range 1","Experience in Current Role Date Range 2","Experience in Company Condition","Experience in Company Date Range 1","Experience in Company Date Range 2","Included Employees","Exclude - Business Unit","Exclude - Employee Type","Exclude - Employee Sub Type","Exclude - Parent Company","Exclude - Department","Exclude - Designation Name","Exclude - Grade","Exclude - Band","Exclude - Pay Scale","Exclude - Office Location","Exclude - Division","Exclude - Contribution Level","Exclude - Employee Group","Exclude - Notice Period from Employee","Exclude - Appraisal Period","Exclude - Location Type","Exclude - Location Region","Exclude - Job Family","Exclude - Functional Area(Not Applicable)","Exclude - Project Allocated","Exclude - Gender","Exclude - Nationality","Exclude - Marital Status","Exclude - Timezone","Exclude - Employee Status","Exclude - Current Address Country","Exclude - Permanent Address Country","Exclude - Designation Role Category","Exclude - Salutation","Exclude - Blood Group","Exclude - Designation Title(Not Applicable)","Exclude - Capability","Exclude - Current Address State","Exclude - Current Address City","Exclude - Permanent Address State","Exclude - Permanent Address City","Exclude - Company Country","Exclude - Pay Group","Exclude - PF Applicability","Exclude - PF Restriction","Exclude - ESIC Applicable","Exclude - LWF Applicable","Exclude - EPS Applicability","Exclude - PT Applicability","Exclude - TDS Applicability","Exclude - On Probation","Exclude - On Notice","Exclude - Manager Level","Exclude - Is HOD","Exclude - Is HRBP","Exclude - Is Standard Role 1","Exclude - Is Standard Role 2","Exclude - Is Standard Role 3","Exclude - Designation Exempt Status","Exclude - Rotational Shift - Biographical","Exclude - Sub Community Details - Biographical","Exclude - Emergency Contact Relation - Emergency","Exclude - Second Emergency Contact Relation - Emergency","Exclude - Employee Group - Employment","Exclude - Client Office Location - Employment","Exclude - Performance Appraisal Month - Employment","Exclude - Contract Status - Employment","Exclude - Work Type - Employment","Exclude - Experience From DOJ Condition","Exclude - Experience From DOJ Date Range 1","Exclude - Experience From DOJ Date Range 2","Exclude - Experience From Group DOJ Condition","Exclude - Experience From Group DOJ Date Range 1","Exclude - Experience From Group DOJ Date Range 2","Exclude - Age Condition","Exclude - Age Date Range 1","Exclude - Age Date Range 2","Exclude - Experience in Current Role Condition","Exclude - Experience in Current Role Date Range 1","Exclude - Experience in Current Role Date Range 2","Exclude - Experience in Company Condition","Exclude - Experience in Company Date Range 1","Exclude - Experience in Company Date Range 2","Excluded Employees"
"Contract and Consultant Leave",UAS_24,,Default,,"Consultant,Contract","Consultant,Contract,Full Time,Part Time,Full Time,Part Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICICI Lombard",UAS_25,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Brigade Peenya Bengaluru  (PSI.BBK),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Prestige Sky Tech Hyderabad  (PSI.PST.Hyd)",,,,,,,,,,"ICICI Lombard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iksula,UAS_26,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Q City Hyderabad  (IWSPL.QHT),Brigade Peenya Bengaluru  (PSI.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Q City Hyderabad  (PSI.QHT),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Q City Hyderabad  (TPL.QHT)",,,,,,,,,,Iksula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kotak Securities",UAS_27,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Brigade Peenya Bengaluru  (PSI.BBK),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Prestige Sky Tech Hyderabad  (PSI.PST.Hyd)",,,,,,,,,,"Kotak Securities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSDL,UAS_28,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Brigade Peenya Bengaluru  (PSI.BBK),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Prestige Sky Tech Hyderabad  (PSI.PST.Hyd)",,,,,,,,,,NSDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scitara,UAS_29,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Q City Hyderabad  (IWSPL.QHT),Brigade Peenya Bengaluru  (PSI.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Q City Hyderabad  (PSI.QHT),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Q City Hyderabad  (TPL.QHT)",,,,,,,,,,Scitara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welldoc,UAS_30,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Brigade Peenya Bengaluru  (PSI.BBK),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Prestige Sky Tech Hyderabad  (PSI.PST.Hyd),Q City Hyderabad  (PSI.QHT),Q City Hyderabad  (TPL.QHT),Q City Hyderabad  (IWSPL.QHT)",,,,,,,,,,WellDoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yes Bank",UAS_31,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Brigade Peenya Bengaluru  (PSI.BBK),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Prestige Sky Tech Hyderabad  (PSI.PST.Hyd)",,,,,,,,,,"Yes Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales,UAS_32,,Default,,,,,"Business Development (PSI.BD),Inside Sales (PSI.BD.IS),Marketing (PSI.BD.MKT),Sales (PSI.BD.S),Operations (PSI.O),Sales (PSI.O.S),Operations (TPL.O),Sales (TPL.BD.S),Business Development (IWSPL.BD),Inside Sales (IWSPL.BD.IS),Company Director (PSI.C.CD),Operations Center Head- Mumbai  (PSI.O.OCHM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Women Employees",UAS_33,,Default,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labcorp,UAS_34,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Q City Hyderabad  (IWSPL.QHT),Brigade Peenya Bengaluru  (PSI.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Q City Hyderabad  (PSI.QHT),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Q City Hyderabad  (TPL.QHT)",,,,,,,,,,Labcorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mumbai Holiday",UAS_35,,Default,,,,,,,,,,"Malad Mindspace Mumbai  (PSI.ETMI),Malad Mindspace Mumbai  (TPL.ETMI)",,,,,,,,,,"Ciena,Evertz,Geico,HP,Intellect,Medstar,Medtronic,PrimeSoft,PrimeSquare,Prove,Saffron Square,Talent Acquisition,Teradici,Teradici GSS,Unassigned,WellDoc,Zafin,Elekta,Igenero,Inside Sales,Mumbai BD Team,Saffron Pay,Former Project,HP GSS,HP LLS,Training,IT,Capri Global,PSI_Zivra,PSI.Aberdeen,PSI.SMFG,PSI.Aberdeen-Patterson,PSI.Aberdeen-Hanger,PSI.StrategyCorps,PSI.PS-AI,PSI.Qualnetics,PSI.Mobilize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bengaluru Holiday",UAS_36,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Brigade Peenya Bengaluru  (PSI.BBK),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Brigade Peenya Bengaluru  (TPL.BBK),Metropolis- Whitefield Bengaluru  (TPL.WFBK)",,,,,,,,,,"Ciena,Evertz,Geico,HP,Intellect,Medstar,Medtronic,PrimeSoft,PrimeSquare,Prove,Saffron Square,Talent Acquisition,Teradici,Teradici GSS,Unassigned,WellDoc,Zafin,Elekta,Igenero,Inside Sales,Mumbai BD Team,Saffron Pay,Former Project,HP GSS,HP LLS,Training,IT,Capri Global,PSI_Zivra,PSI.Aberdeen,PSI.SMFG,PSI.Aberdeen-Patterson,PSI.Aberdeen-Hanger,PSI.StrategyCorps,PSI.PS-AI,PSI.Qualnetics,PSI.Mobilize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hyderabad- Holiday",UAS_37,,Default,,,,,,,,,,"Prestige Sky Tech Hyderabad  (PSI.PST.Hyd)",,,,,,,,,,"Ciena,Evertz,Geico,HP,Intellect,Medstar,Medtronic,PrimeSoft,PrimeSquare,Prove,Saffron Square,Talent Acquisition,Teradici,Teradici GSS,Unassigned,WellDoc,Zafin,Elekta,Igenero,Inside Sales,Mumbai BD Team,Saffron Pay,HP GSS,HP LLS,Training,IT,Capri Global,PSI_Zivra,PSI.Aberdeen,PSI.SMFG,PSI.Aberdeen-Patterson,PSI.Aberdeen-Hanger,PSI.StrategyCorps,PSI.PS-AI,PSI.Qualnetics,PSI.Mobilize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QAE Signoff",UAS_38,,Default,,,,,"Digital (PSI.D),Content (PSI.D.C),Marketing (PSI.D.MKT),SEO (PSI.D.SEO),UX (PSI.D.UX),Product Management (PSI.PRDM),Business Analysis (PSI.PRDM.BA),Documentation (PSI.PRDM.D),Program Manager (PSI.C.PM),Project Management (PSI.C.PJM),Director Technology and Services (PSI.C.PJM.DTS),Project Manager (PSI.C.PJM.PM),VP Development (PSI.VP.DEV),Creative Designer (PSI.D.UX.),Design (PSI.DG),UI/UX (PSI.DG.UI/UX),UX (PSI.DG.UX),Development (PSI.DEV),Back End (PSI.DEV.BE),DBA (PSI.DEV.DBA),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Mobile (PSI.DEV.MOB),Mobile Android (PSI.DEV.MA),Mobile IOS (PSI.DEV.MIOS),Networking and Telecom (PSI.DEV.NAT),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),VP QA & Devops (PSI.VP.QA&DO),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Automation (PSI.QA.ATT),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Mobile Testing (PSI.QA.MOBT),Networking and Telecom (PSI.QA.NAT),Development (TPL.DEV),Back End (TPL.DEV.BE),DBA (TPL.DEV.DBA),Front end (TPL.DEV.FE),Full Stack (TPL.DEV.FS),Digital (TPL.D),Marketing (TPL.D.MKT),Project Coordinator (TPL.PC),Coordinator (TPL.PC.CD),Project Management (TPL.PM),Business Analysis (TPL.PM.BA),Project Manager (TPL.PM.PMO),Quality Assurance (TPL.QA),Automation Testing (TPL.QA.AT),Manual Testing (TPL.QA.MT),ERP (IWSPL.DEV.ERP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndusInd,UAS_39,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Brigade Peenya Bengaluru  (PSI.BBK),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Prestige Sky Tech Hyderabad  (PSI.PST.Hyd)",,,,,,,,,,IndusInd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 Months Notice Period",UAS_40,,Default,,,,,,,,,,,,,,"3 Months (3 Months)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Month Notice Period",UAS_41,,Default,,,,,,,,,,,,,,"2 Months (2 Months)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senior Manager JR",UAS_42,,Default,,,,,,,,,,,,"Senior Lead (SL),Senior Manager (SM),Senior Management (SRM),Manager (M)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Month Notice Period",UAS_43,,Default,,,,,,,,,,,,,,"1 Month (1 Month)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Days Notice Period",UAS_44,,Default,,,,,,,,,,,,,,"15 Days (15 Days)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6 Months Notice Period",UAS_45,,Default,,,,,,,,,,,,,,"6 Months (6 Months)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[REDACTED]' Payroll",UAS_46,"[REDACTED]'s access to Payroll",Default,,,,,,,,,,,,"Associate (A),Intern (I),Lead (L),Individual Contributor (IC)","Staffing (Staffing)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Core Admins Permission Restriction",,,Default,,,,,"Design (IWSPL.DG),UI/UX (IWSPL.DG.UI/UX),UX (IWSPL.DG.UX),Development (IWSPL.DEV),Back End (IWSPL.DEV.BE),Front End (IWSPL.DEV.FE),Database Support (PSI.C.DS),Application Support (PSI.C.DS.AS),Business Analysis (PSI.PRDM.BA),Design (PSI.DG),UI/UX (PSI.DG.UI/UX),UX (PSI.DG.UX),Development (PSI.DEV),Back End (PSI.DEV.BE),DBA (PSI.DEV.DBA),ERP (IWSPL.DEV.ERP),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Mobile (PSI.DEV.MOB),Mobile Android (PSI.DEV.MA),Mobile IOS (PSI.DEV.MIOS),Networking and Telecom (PSI.DEV.NAT),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Automation (PSI.QA.ATT),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Mobile Testing (PSI.QA.MOBT),Networking and Telecom (PSI.QA.NAT),Database Support (TPL.DS),Application Support (TPL.DS.AS),Support (TPL.DS.SUPP),DevOps and Support (TPL.DAS),Core DevOps (TPL.DAS.CDO),Development (TPL.DEV),Back End (TPL.DEV.BE),DBA (TPL.DEV.DBA),Front end (TPL.DEV.FE),Full Stack (TPL.DEV.FS),Quality Assurance (TPL.QA),Automation Testing (TPL.QA.AT),Manual Testing (TPL.QA.MT)",,,,,"Brigade Peenya Bengaluru  (PSI.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Prestige Sky Tech Hyderabad  (PSI.PST.Hyd)",,"Lead (L),Individual Contributor (IC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merit Planning - [REDACTED]",,,Default,,,,,"Design (IWSPL.DG),UI/UX (IWSPL.DG.UI/UX),UX (IWSPL.DG.UX),Development (IWSPL.DEV),Back End (IWSPL.DEV.BE),Front End (IWSPL.DEV.FE),Database Support (PSI.C.DS),Application Support (PSI.C.DS.AS),Business Analysis (PSI.PRDM.BA),Design (PSI.DG),UI/UX (PSI.DG.UI/UX),UX (PSI.DG.UX),Development (PSI.DEV),Back End (PSI.DEV.BE),DBA (PSI.DEV.DBA),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Mobile (PSI.DEV.MOB),Mobile Android (PSI.DEV.MA),Mobile IOS (PSI.DEV.MIOS),Networking and Telecom (PSI.DEV.NAT),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Automation (PSI.QA.ATT),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Mobile Testing (PSI.QA.MOBT),Networking and Telecom (PSI.QA.NAT),Database Support (TPL.DS),Application Support (TPL.DS.AS),Support (TPL.DS.SUPP),DevOps and Support (TPL.DAS),Core DevOps (TPL.DAS.CDO),Development (TPL.DEV),Back End (TPL.DEV.BE),DBA (TPL.DEV.DBA),Front end (TPL.DEV.FE),Full Stack (TPL.DEV.FS),Project Coordinator (TPL.PC),Coordinator (TPL.PC.CD),Quality Assurance (TPL.QA),Automation Testing (TPL.QA.AT),Manual Testing (TPL.QA.MT),ERP (IWSPL.DEV.ERP)",,,,,"Malad Mindspace Mumbai  (PSI.ETMI)",,"Associate (A),Intern (I),Lead (L),Individual Contributor (IC)","Staffing (Staffing)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Staffing employees",,,Default,,,,,,,,,,,,,"Staffing (Staffing)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Offer Approval, Performance - [REDACTED] & [REDACTED]",,,Default,,,,,"Digital (PSI.D),Content (PSI.D.C),Marketing (PSI.D.MKT),SEO (PSI.D.SEO),UX (PSI.D.UX),IT (PSI.IT),Networking and Hardware Support (PSI.IT.NAHS),Networking and Support (PSI.IT.NAS),Business Analysis (PSI.PRDM.BA),Documentation (PSI.PRDM.D),Business Development (PSI.BD),Inside Sales (PSI.BD.IS),Marketing (PSI.BD.MKT),Design (PSI.DG),UI/UX (PSI.DG.UI/UX),UX (PSI.DG.UX),Development (PSI.DEV),Back End (PSI.DEV.BE),DBA (PSI.DEV.DBA),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Mobile (PSI.DEV.MOB),Mobile Android (PSI.DEV.MA),Mobile IOS (PSI.DEV.MIOS),Networking and Telecom (PSI.DEV.NAT),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),VP QA & Devops (PSI.VP.QA&DO),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Automation (PSI.QA.ATT),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Mobile Testing (PSI.QA.MOBT),Networking and Telecom (PSI.QA.NAT),ERP (IWSPL.DEV.ERP)",,,,,,,"Associate (A),Lead (L),Individual Contributor (IC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
