"Code","Row ID","Approval Stage Name","Approvers","Approver's Job Level","Approver's Grade","Action","Alloted Time","Visibility Roles","Skip Settings","SLA Settings","Confidential Roles","Re-Route Approval Flow","Approver Context","Assignment Basis","Replace Approve and Reject buttons with submit button","Trigger this stage even if previous stage is rejected","Allow Send Back","Select Employee","Use Decision Matrix","Decision Matrix","Approve Button Alias","Reject Button Alias","Save as Draft Button Alias","Reroute Button Alias","Send Back Button Alias","Delegate Button Alias","View Details Button Alias","Submit Button Alias","Cancel Button Alias","Approver/Assignee Is Assigned - Email","Approver/Assignee Is Assigned - Default Recipients","Approver/Assignee Is Assigned - Additional Recipients","Approver/Assignee Is Assigned - CC Users","Approver/Assignee Is Assigned - CC Roles","Approvers Approve - Email","Approvers Approve - Default Recipients","Approvers Approve - Additional Recipients","Approvers Approve - CC Users","Approvers Approve - CC Roles","Approvers Reject - Email","Approvers Reject - Default Recipients","Approvers Reject - Additional Recipients","Approvers Reject - CC Users","Approvers Reject - CC Roles","Due Date Is Completed - Email","Due Date Is Completed - Default Recipients","Due Date Is Completed - Additional Recipients","Due Date Is Completed - CC Users","Due Date Is Completed - CC Roles","Approval Step Is Skipped - Email","Approval Step Is Skipped - Default Recipients","Approval Step Is Skipped - Additional Recipients","Approval Step Is Skipped - CC Users","Approval Step Is Skipped - CC Roles","Sent Back To Approval Stage And Sent Back Task Is Triggered - Email","Sent Back To Approval Stage And Sent Back Task Is Triggered - Default Recipients","Sent Back To Approval Stage And Sent Back Task Is Triggered - Additional Recipients","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Email","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Default Recipients","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Additional Recipients","Sent Back From This Stage And Sent Back Task Is Completed - Email","Sent Back From This Stage And Sent Back Task Is Completed - Default Recipients","Sent Back From This Stage And Sent Back Task Is Completed - Additional Recipients","Other Stages Retriggered As Part Of This Send Back - Email","Other Stages Retriggered As Part Of This Send Back - Default Recipients","Other Stages Retriggered As Part Of This Send Back - Additional Recipients","Status"
"AF_12","","L1","Head HR","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_13","","L1","Head HR","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_14","","L1","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_14","","L2","HOD","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_14","","L3","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_15","","L1","HOD","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_15","","L2","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_16","R1","Manager Approval","Manager","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_17","","HR Team","","","","","15","","","","","AF_18|AF_19|AF_20","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_18","","CEO","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_19","","VP","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_20","R1","","Admin|Offer Approval HR","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_21","","HR Team","","","","","15","","","","","AF_18|AF_19|AF_20","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","CUST_NOTF_8","","","","Admin","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_22","R1","l1","Manager","","","","15","Employee direct HRBP","Skip_AF_1","","","","Subject","Source","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_22","R2","l2","Employee direct HRBP","","","","15","L2 Manager","Skip_AF_1","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_22","R3","l3","Admin","","","","15","L2 Manager|Employee direct HRBP","Skip_AF_1","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_23","","L1","","","","","15","","","","","","Initiator","Source","","","","","","","","","","","","","","","","CUST_NOTF_5","","Manager|L2 Manager|L3 Manager|L4 Manager|HOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_23","","L2","","","","","15","","","","","","Initiator","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_24","","L1","","","","","15","","Skip_AF_2","","","","Initiator","Source","","","","","","","","","","","","","","","","CUST_NOTF_5","","Manager|L2 Manager|L3 Manager|L4 Manager|HOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_24","","L2","","","","","15","","Skip_AF_2","","","","Initiator","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_25","","L1","","","","","15","","","","","","Initiator","Source","","","","","","","","","","","","","","","","CUST_NOTF_5","","Manager|L2 Manager|L3 Manager|L4 Manager|HOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_25","","L2","","","","","15","Admin","","","","","Initiator","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_26","","L1","","","","","15","","Skip_AF_3","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_27","","L1","","","","","15","","","","","","Initiator","Source","","","","","","","","","","","","","","","","CUST_NOTF_5","","Manager|L2 Manager|L3 Manager|L4 Manager|HOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_27","","L2","","","","","15","Admin","Skip_AF_3","","","","Initiator","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_28","","L1","","","","","15","","","","","","Initiator","Source","","","","","","","","","","","","","","","","CUST_NOTF_5","","Manager|L2 Manager|L3 Manager|L4 Manager|HOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_28","","L2","","","","","15","Admin","","","","","Initiator","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_29","","Stage 1","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_30","","Stage 1","","","","","15","Manager","","","Manager|Admin","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_31","","Stage 1","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_32","","Stage 1","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_33","R1","Stage 1","Manager|Employee direct HRBP","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
