"Designation Name","Designation Code",Status,"Created On","Created By","Updated On","Updated By","Effective From"
" Software Engineer VOIP",DESG_96,Archived,"05-07-2023 02:38:33",,,,
" System Architect",DESG_97,Active,"05-07-2023 02:38:33",,,,
" Team Lead - QA",DESG_98,Archived,"05-07-2023 02:38:34",,,,
" Technical Architect- Enterprise and Wireless Application",DESG_99,Active,"05-07-2023 02:38:34",,,,
" Technical Writer",DESG_100,Active,"05-07-2023 02:38:35",,"05-01-2024 11:59:55","[REDACTED]",05-07-2023
" Test Automation Lead",DESG_101,Active,"05-07-2023 02:38:35",,,,
" Test Engineer",DESG_102,Active,"05-07-2023 02:38:36",,,,
" Test Lead",DESG_103,Active,"05-07-2023 02:38:37",,,,
" Trainee",DESG_104,Active,"05-07-2023 02:38:37",,,,
" Trainee Engineer",DESG_105,Active,"05-07-2023 02:38:38",,,,
" Trainee Software Engineer",DESG_106,Active,"05-07-2023 02:38:38",,,,
" UI Engineer",DESG_107,Active,"05-07-2023 02:38:39",,,,
" US IT Recruiter",DESG_108,Active,"05-07-2023 02:38:39",,,,
" VOIP Engineer",DESG_109,Active,"05-07-2023 02:38:40",,,,
" VP Technology",DESG_110,Active,"05-07-2023 02:38:40",,,,
" Wordpress lead",DESG_111,Active,"05-07-2023 02:38:41",,,,
Accountant,DE_1,Active,"05-07-2023 03:09:52",,,,
"Admin Executive",DE_2,Active,"05-07-2023 03:09:52",,,,
"Administrative Executive",DE_3,Active,"05-07-2023 03:09:53",,,,
"Android Developer",DE_4,Archived,"05-07-2023 03:09:53",,,,
"Assistant Manager HR",DE_5,Active,"05-07-2023 03:09:54",,,,
"Assistant Manager Inside Sales",DE_6,Active,"05-07-2023 03:09:54",,,,
"Associate Accounts",DE_7,Active,"05-07-2023 03:09:55",,,,
"Associate Admin",DE_8,Active,"05-07-2023 03:09:55",,,,
"Associate Business Analyst",DE_9,Active,"05-07-2023 03:09:56",,,,
"Associate Designer",DE_10,Active,"05-07-2023 03:09:56",,,,
"Associate Engineer",DE_11,Active,"05-07-2023 03:09:57",,,,
"Associate HR",DE_12,Active,"05-07-2023 03:09:57",,,,
"Associate Inside Sales",DE_13,Active,"05-07-2023 03:09:58",,,,
"Associate Systems Administrator",DE_14,Active,"05-07-2023 03:09:59",,,,
"Associate Technical Support",DE_15,Active,"05-07-2023 03:09:59",,,,
"Automation Lead",DE_16,Active,"05-07-2023 03:10:00",,,,
"Automation Lead Engineer",DE_17,Active,"05-07-2023 03:10:00",,,,
AVP,DE_18,Active,"05-07-2023 03:10:01",,,,
"AVP Business Development",DE_19,Active,"05-07-2023 03:10:01",,,,
"AVP Finance",DE_20,Active,"05-07-2023 03:10:02",,,,
"AVP Technology",DE_21,Active,"05-07-2023 03:10:03",,,,
"AVP Technology Solution Architect",DE_22,Active,"05-07-2023 03:10:03",,,,
"Business Analyst",DE_23,Active,"05-07-2023 03:10:04",,,,
"Business Development Manager",DE_24,Active,"05-07-2023 03:10:04",,,,
Consultant,DE_25,Active,"05-07-2023 03:10:05",,,,
"Content writer",DE_26,Active,"05-07-2023 03:10:05",,,,
"Creative Designer",DE_27,Archived,"05-07-2023 03:10:06",,,,
CTO,DE_28,Active,"05-07-2023 03:10:06",,,,
"Customer Engagement Manager",DE_29,Active,"05-07-2023 03:10:07",,,,
"DevOps Support Engineer",DE_30,Active,"05-07-2023 03:10:07",,,,
"DevOps Support Lead",DE_31,Active,"05-07-2023 03:10:08",,,,
"DevOps System Engineer",DE_32,Active,"05-07-2023 03:10:08",,,,
Director,DE_33,Active,"05-07-2023 03:10:09",,,,
"Director Operations",DE_34,Active,"05-07-2023 03:10:09",,,,
"Director, Business Development and Sales",DE_35,Active,"05-07-2023 03:10:10",,,,
"Engineer DevOps",DE_36,Active,"05-07-2023 03:10:10",,,,
"Engineer Systems",DE_37,Active,"05-07-2023 03:10:11",,,,
"Executive HR",DE_38,Active,"05-07-2023 03:10:12",,,,
"Executive Inside Sales",DE_39,Active,"05-07-2023 03:10:12",,,,
"Executive Lead Generation",DE_40,Active,"05-07-2023 03:10:13",,,,
"Executive Product",DE_41,Active,"05-07-2023 03:10:13",,,,
"Executive Product BA",DE_42,Active,"05-07-2023 03:10:14",,,,
"Founder and Director",DE_43,Active,"05-07-2023 03:10:14",,,,
"Hadoop Administrator",DE_44,Active,"05-07-2023 03:10:15",,,,
"Help Desk Executive",DE_45,Active,"05-07-2023 03:10:15",,,,
"HR Associate",DE_46,Active,"05-07-2023 03:10:16",,,,
"HR Executive",DE_47,Active,"05-07-2023 03:10:16",,,,
"HR Lead",DE_48,Active,"05-07-2023 03:10:17",,,,
"HR Trainee",DE_49,Active,"05-07-2023 03:10:17",,,,
"Inside Sales associate",DE_50,Active,"05-07-2023 03:10:18",,,,
"Inside Sales Executive",DE_51,Active,"05-07-2023 03:10:18",,,,
Intern,DE_52,Active,"05-07-2023 03:10:19",,,,
"iOS Developer",DE_53,Active,"05-07-2023 03:10:19",,,,
"Junior QA Engineer",DE_54,Active,"05-07-2023 03:10:20",,,,
