"Designation Name","Designation Code",Status,"Created On","Created By","Updated On","Updated By","Effective From"
"Senior Software Engineer",PSI.DEV.Fullstack.SK,Active,"26-08-2025 18:27:28","[REDACTED]","28-08-2025 16:18:18","[REDACTED]",26-08-2025
"Senior UI Developer",PSI.UI.Dev.Abdrn,Active,"28-08-2025 14:20:39","[REDACTED]",,,28-08-2025
"Business Analyst","PSI.BA.SK ",Active,"28-08-2025 14:58:34","[REDACTED]",,,28-08-2025
"Full Stack Development Lead",PSI.Lead.Fullstack.SK,Active,"28-08-2025 16:51:12","[REDACTED]",,,28-08-2025
"Senior Data Engineer","PSI.Data Engineer.Aberdeen",Active,"29-08-2025 12:25:17","[REDACTED]",,,29-08-2025
"Senior Data QA Engineer",PSI.QA.DE.Aberdeen,Active,"29-08-2025 12:27:15","[REDACTED]",,,29-08-2025
"Software Engineer",PSI.DEV.BE.Java.HP,Active,"03-09-2025 13:55:33","[REDACTED]",,,03-09-2025
"Accounts Coordinator ",DE_182,Active,"03-09-2025 16:54:34","[REDACTED]",,,03-09-2025
"Test Automation Engineer",PSI.QA.AT.Abdrn,Active,"06-09-2025 13:14:19","[REDACTED]",,,06-09-2025
"Senior Data QA Engineer (Powe BI)",PSI.QA.DE.PowerBI.Aberdeen,Active,"08-09-2025 11:46:16","[REDACTED]",,,08-09-2025
"QA Engineer",PSI.QA.Jr.NSDL,Active,"08-09-2025 15:02:44","[REDACTED]","08-09-2025 15:50:51","[REDACTED]",08-09-2025
"Senior QA Engineer",PSI.QA.Mid.NSDL,Active,"08-09-2025 15:11:04","[REDACTED]",,,08-09-2025
"QA Lead",PSI.QA.Lead.NSDL,Active,"08-09-2025 15:22:00","[REDACTED]",,,08-09-2025
"Tech Lead ","PSI.DEV.BE.Tech lead.SC",Active,"01-10-2025 15:33:53","[REDACTED]","01-10-2025 16:23:15","[REDACTED]",01-10-2025
"Senior Software Engineer",PSI.DEV.BE.SSE.SC,Active,"01-10-2025 16:30:09","[REDACTED]",,,01-10-2025
"Practice Head","PSI.ERP.PH.Oracle ",Active,"01-10-2025 18:34:37","[REDACTED]",,,01-10-2025
"Tech Lead","PSI.DEV.Lead.Dot Net.SC",Active,"21-10-2025 12:19:37","[REDACTED]",,,21-10-2025
"Senior Software Engineer.","PSI.DEV.SSE.Dot Net.SC",Active,"21-10-2025 12:22:23","[REDACTED]",,,21-10-2025
"Business Analyst ( QA)","PSI. BA.QA.YES",Active,"24-10-2025 12:57:15","[REDACTED]",,,24-10-2025
"Software Engineer ",PSI.DEV.FE.React.Kotak,Active,"28-10-2025 11:57:48","[REDACTED]",,,28-10-2025
"Director- Product",DE_183,Active,"31-10-2025 23:19:26","[REDACTED]",,,31-10-2025
"Oracle Fusion MRP Architect",PSI.ERP.OFMRP.HANGER,Active,"04-11-2025 12:29:04","[REDACTED]",,,04-11-2025
"Oracle Supply Chain/Financials OM & AR Sr. Consultant",PSI.ERP.SC/F.HANGER,Active,"04-11-2025 12:32:25","[REDACTED]","02-12-2025 16:53:38","[REDACTED]",04-11-2025
"Oracle Financials PO & AP Sr. Consultant",PSI.ERP.PO.AP.HANGER,Active,"04-11-2025 14:03:47","[REDACTED]","03-12-2025 12:11:21","[REDACTED]",04-11-2025
"Oracle Fusion Inventory Consultant",PSI.DEV.OFIC.HANGER,Active,"04-11-2025 14:20:50","[REDACTED]",,,04-11-2025
" Senior Consultant : Oracle Fusion Cost Accounting and Intercompany Supply Chain Financial Orchestration ",PSI.ERP.SR.OFCA.ISC.HANGER,Active,"04-11-2025 14:24:50","[REDACTED]",,,04-11-2025
"Junior Consultant : Oracle Fusion Cost Accounting and Intercompany Supply Chain Financial Orchestration ",PSI.ERP.JR.OFCA.ISC.HANGER,Active,"04-11-2025 14:26:01","[REDACTED]",,,04-11-2025
"Technical Project Manager","PSI.C.Tech PM.SK",Active,"06-11-2025 14:52:17","[REDACTED]",,,06-11-2025
"QA Engineer",PSI.QA.AT.Hanger,Active,"10-11-2025 14:10:09","[REDACTED]",,,10-11-2025
" Oracle Fusion Cloud OIC Integration Specialist consultant",PSI.ERP.OFCOIC.HANGER,Active,"28-11-2025 12:31:17","[REDACTED]",,,28-11-2025
"Senior Test Automation Engineer",PSI.SR.QA.AT.HANGER,Active,"01-12-2025 11:32:43","[REDACTED]",,,01-12-2025
"Software Engineer.",PSI.QA.Yesbank,Active,"02-12-2025 17:24:41","[REDACTED]",,,02-12-2025
"Oracle Fusion OM / AR / Collections Technical Specialist",PSI.ERP.OM/AR/Collections.Tech.HANGER,Active,"08-12-2025 11:37:50","[REDACTED]",,,08-12-2025
"Senior Flutter Developer",PSI.DEV.FE.Flutter.Kotak,Active,"12-12-2025 15:45:08","[REDACTED]","12-12-2025 16:15:07","[REDACTED]",12-12-2025
"Senior Director-Oracle Practice",DE_184,Active,"22-12-2025 14:04:02","[REDACTED]",,,22-12-2025
"Software Engineer",PSI.FE.React.SK,Active,"29-12-2025 11:49:19","[REDACTED]",,,29-12-2025
"Software Engineer","PSI.DEV.BE.SK finance.",Active,"07-01-2026 17:29:50","[REDACTED]",,,07-01-2026
"Senior Software Engineer",PSI.DEV.Next.JS.SC,Active,"20-01-2026 11:27:47","[REDACTED]",,,20-01-2026
"Veterinary Radiologist",PSI.QA.Vet.Radiology,Active,"06-03-2026 12:08:42","[REDACTED]",,,06-03-2026
"Oracle Fusion Functional Consultant ( SCM)",PSI.ERP.Functional.SCM,Active,"10-03-2026 14:21:19","[REDACTED]",,,10-03-2026
"Business Analyst.",PSI.BA.INVOICEMART,Active,"18-03-2026 12:39:37","[REDACTED]",,,18-03-2026
"Marketing Executive",PSI.BD.MKT.EXE,Active,"30-03-2026 15:38:10","[REDACTED]",,,30-03-2026
"Marketing Executive",PSI.BD.MKT.EXECTV,Active,"30-03-2026 15:40:23","[REDACTED]",,,30-03-2026
"Marketing Manager",PSI.BD.MKT.Manager,Active,"30-03-2026 15:57:00","[REDACTED]",,,30-03-2026
"QA Engineer",PSI.QA.AT.Oracle-Hanger,Active,"30-03-2026 16:40:46","[REDACTED]",,,30-03-2026
"Technical Engineer",PSI.QA.API.YESBANK,Active,"15-04-2026 12:43:07","[REDACTED]",,,15-04-2026
"Senior Data QA Engineer.",PSI.QA.DE.Hanger,Active,"16-04-2026 18:47:12","[REDACTED]",,,16-04-2026
