Company,"Business Unit","Department Name","Department Code","Parent Department Code","Business Unit Name","Business Unit Code","Top Department","Project Allocated","Project Allocated Name","Project Allocated Code",HOD,"Performance HOD","Functional Head","Head HR","Group HR Head","Head Level Access","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9",Status,Capability
"Tejora Private Limited",,"Core HR",TPL.HR.CHR,TPL.HR,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Human Resources (TPL.HR)","Core HR (TPL.HR.CHR)",,,,,,,Active,
"Tejora Private Limited",,"Core HR and PMO",TPL.HR.CHAP,TPL.HR,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Human Resources (TPL.HR)","Core HR and PMO (TPL.HR.CHAP)",,,,,,,Active,
PrimeSoft,,"Creative Designer",PSI.D.UX,,,,,,,,,,,,,,"Creative Designer (PSI.D.UX)",,,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"Creative Designer",PSI.D.UX.,PSI.VP.DEV,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Creative Designer (PSI.D.UX.)",,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,DBA,PSI.DEV.DBA,PSI.DEV,,,,,,,"[REDACTED],[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Development (PSI.DEV)","DBA (PSI.DEV.DBA)",,,,,Active,
"Tejora Private Limited",,DBA,TPL.DEV.DBA,TPL.DEV,,,,,,,,,,,,,"CEO (TPL.C)","Development (TPL.DEV)","DBA (TPL.DEV.DBA)",,,,,,,Active,
"Tejora Private Limited",,"Database Support",TPL.DS,TPL.C,,,,,,,,,,,,,"CEO (TPL.C)","Database Support (TPL.DS)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Database Support",PSI.C.DS,PSI.C,,,,,,,,,,,,,"CEO (PSI.C)","Database Support (PSI.C.DS)",,,,,,,,Active,
"Igenero Web Solutions Private Limited",,Design,IWSPL.DG,,,,,,,,,,,,,,"Design (IWSPL.DG)",,,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,Design,PSI.DG,PSI.VP.DEV,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Design (PSI.DG)",,,,,,Active,
"Tejora Private Limited",,"DevOps and Support",TPL.DAS,TPL.C,,,,,,,,,,,,,"CEO (TPL.C)","DevOps and Support (TPL.DAS)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"DevOps and Support",PSI.DAS,PSI.VP.QA&DO,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)","DevOps and Support (PSI.DAS)",,,,,,Active,
"Tejora Private Limited",,Development,TPL.DEV,TPL.C,,,,,,,,,,,,,"CEO (TPL.C)","Development (TPL.DEV)",,,,,,,,Active,
"Igenero Web Solutions Private Limited",,Development,IWSPL.DEV,,,,,,,,,,,,,,"Development (IWSPL.DEV)",,,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,Development,PSI.DEV,PSI.VP.DEV,,,,,,,"[REDACTED],[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Development (PSI.DEV)",,,,,,Active,
"Igenero Web Solutions Private Limited",,Digital,IWSPL.D,,,,,,,,,,,,,,"Digital (IWSPL.D)",,,,,,,,,Active,
"Tejora Private Limited",,Digital,TPL.D,TPL.C,,,,,,,,,,,,,"CEO (TPL.C)","Digital (TPL.D)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,Digital,PSI.D,PSI.C,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Digital (PSI.D)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Director Technology and Services",PSI.C.PJM.DTS,PSI.C.PJM,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Project Management (PSI.C.PJM)","Director Technology and Services (PSI.C.PJM.DTS)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,Documentation,PSI.PRDM.D,PSI.PRDM,,,"Product Management",,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Product Management (PSI.PRDM)","Documentation (PSI.PRDM.D)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,ERP,IWSPL.DEV.ERP,PSI.DEV,,,,,,,"[REDACTED],[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Development (PSI.DEV)","ERP (IWSPL.DEV.ERP)",,,,,Active,
"Tejora Private Limited",,"Executive Lead Generation",TPL.BD.IS,TPL.C,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Executive Lead Generation (TPL.BD.IS)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,FinOps,PSI.DAS.FO,PSI.DAS,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)","DevOps and Support (PSI.DAS)","FinOps (PSI.DAS.FO)",,,,,Active,
"Tejora Private Limited",,Finance,TPL.F,TPL.C,,,,,,,,,,,,,"CEO (TPL.C)","Finance (TPL.F)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,Finance,PSI.F,PSI.C,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (PSI.C)","Finance (PSI.F)",,,,,,,,Active,
PrimeSoft,,Finance/Accounts,DEP_1,,,,,,,,,,,,,,"Finance/Accounts (DEP_1)",,,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"Front End",PSI.DEV.FE,PSI.DEV,,,,,,,"[REDACTED],[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Development (PSI.DEV)","Front End (PSI.DEV.FE)",,,,,Active,
"Igenero Web Solutions Private Limited",,"Front End",IWSPL.DEV.FE,IWSPL.DEV,,,,,,,,,,,,,"Development (IWSPL.DEV)","Front End (IWSPL.DEV.FE)",,,,,,,,Active,
"Tejora Private Limited",,"Front end",TPL.DEV.FE,TPL.DEV,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (TPL.C)","Development (TPL.DEV)","Front end (TPL.DEV.FE)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Full Stack",PSI.PM.FS,PSI.PM,,,,,,,,,,,,,"Product Management (PSI.PM)","Full Stack (PSI.PM.FS)",,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"Full Stack",PSI.DEV.FS,PSI.DEV,,,,,,,"[REDACTED],[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Development (PSI.DEV)","Full Stack (PSI.DEV.FS)",,,,,Active,
"Tejora Private Limited",,"Full Stack",TPL.DEV.FS,TPL.DEV,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Development (TPL.DEV)","Full Stack (TPL.DEV.FS)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,HR,PSI.HR.HR,PSI.HR,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Senior Director HR (PSI.C.SDHR)","Human Resources (PSI.HR)","HR (PSI.HR.HR)",,,,,,Active,
PrimeSoft,,HR/Admin,DEP_2,,,,,,,,,,,,,,"HR/Admin (DEP_2)",,,,,,,,,Archived,
"Tejora Private Limited",,"Human Resources",TPL.HR,TPL.C,,,,,,,,,,,,,"CEO (TPL.C)","Human Resources (TPL.HR)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Human Resources",PSI.HR,PSI.C.SDHR,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (PSI.C)","Senior Director HR (PSI.C.SDHR)","Human Resources (PSI.HR)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Hyderabad Admin",PSI.A.HA,PSI.A,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Adminstration (PSI.A)","Hyderabad Admin (PSI.A.HA)",,,,,,,Active,
"Tejora Private Limited",,IT,TPL.IT,TPL.C,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","IT (TPL.IT)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,IT,PSI.IT,PSI.C,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","IT (PSI.IT)",,,,,,,,Active,
