Company,"Business Unit","Department Name","Department Code","Parent Department Code","Business Unit Name","Business Unit Code","Top Department","Project Allocated","Project Allocated Name","Project Allocated Code",HOD,"Performance HOD","Functional Head","Head HR","Group HR Head","Head Level Access","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9",Status,Capability
"Igenero Web Solutions Private Limited",,Operations,IWSPL.D.O,IWSPL.D,,,,,,,,,,,,,"Digital (IWSPL.D)","Operations (IWSPL.D.O)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Operations Center Head- Mumbai",PSI.O.OCHM,PSI.O,,,,,,,,,,,,,"CEO (PSI.C)","Operations (PSI.O)","Operations Center Head- Mumbai  (PSI.O.OCHM)",,,,,,,Active,
"Tejora Private Limited",,"Operations Head",TPL.OH,TPL.C,,,,,,,,,,,,,"CEO (TPL.C)","Operations Head (TPL.OH)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Product Management",PSI.PM,,,,,,,,,,,,,,"Product Management (PSI.PM)",,,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"Product Management",PSI.PRDM,PSI.C,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (PSI.C)","Product Management (PSI.PRDM)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Program Manager",PSI.C.PM,PSI.C,,,,,,,,,,,,,"CEO (PSI.C)","Program Manager (PSI.C.PM)",,,,,,,,Active,
"Tejora Private Limited",,"Project Coordinator",TPL.PC,TPL.C,,,,,,,,,,,,,"CEO (TPL.C)","Project Coordinator (TPL.PC)",,,,,,,,Active,
PrimeSoft,,"Project Lead",PSI.DEV.Q,,,,,,,,,,,,,,"Project Lead (PSI.DEV.Q)",,,,,,,,,Archived,
"Tejora Private Limited",,"Project Management",TPL.PM,TPL.C,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (TPL.C)","Project Management (TPL.PM)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Project Management",PSI.C.PJM,PSI.C,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (PSI.C)","Project Management (PSI.C.PJM)",,,,,,,,Active,
