"Holiday Name","Holiday Code","Holiday Date","Day Name","Repeat Next Year (yes/no)","Holiday Type (Mandatory(0)/Optional(1)/National(2))","Assigned location","Location (Work Area Code)",Assignments,"Additional Configurations","Recurring Holiday Type(Recurring Static date(0)/Recurring Day of Month(1))","Static Month","Static Date",Occurrence,Month,Day,"Holiday Starts From"
"Dr. Babasaheb AmbedkarJayanti",HDAY_96,2025-04-14,Monday,NO,0,,,"Axis Securities,Kotak Securities,NSDL,Yes Bank,Invoicemart",No,,,,,,,
"Good Friday",HDAY_97,2025-04-18,Friday,NO,0,,,"Axis Securities,Freecharge,Kotak Securities,NSDL,Yes Bank,Aditya Birla,Invoicemart",No,,,,,,,
"Maharashtra Day /May Day",HDAY_98,2025-05-01,Thursday,NO,0,,,"Axis Securities,ICICI Lombard,Kotak Securities,NSDL,Yes Bank,Labcorp,Mumbai Holiday,Aditya Birla,Invoicemart",No,,,,,,,
"Labour Day",HDAY_99,2025-05-01,Thursday,NO,0,,,"Axis Securities,Freecharge",No,,,,,,,
"Memorial Day",HDAY_112,2025-05-26,Monday,NO,0,"Columbia, Columbia, United States  (PSI.USML)
",PSI.USML,,No,,,,,,,
"Bakri Eid",HDAY_110,2025-06-07,Saturday,NO,0,,,NSDL,No,,,,,,,
"Independence Day- US",HDAY_113,2025-07-04,Friday,NO,0,"Columbia, Columbia, United States  (PSI.USML)
",PSI.USML,,No,,,,,,,
"Independence Day ",HDAY_100,2025-08-15,Friday,NO,0,,,"Axis Securities,Freecharge,ICICI Lombard,Kotak Securities,NSDL,Yes Bank,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,Aditya Birla,Invoicemart,SK Finance ",No,,,,,,,
"Ganesh Chaturthi ",HDAY_101,2025-08-27,Wednesday,NO,0,,,"Axis Securities,ICICI Lombard,Kotak Securities,NSDL,Yes Bank,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,Aditya Birla,Invoicemart,SK Finance ",No,,,,,,,
"Labor Day",HDAY_114,2025-09-01,Monday,NO,0,"Columbia, Columbia, United States  (PSI.USML)
",PSI.USML,"SK Finance ",No,,,,,,,
"Eid e Milad",HDAY_102,2025-09-05,Friday,NO,0,,,"Aditya Birla",No,,,,,,,
"Eid e Milad",HDAY_111,2025-09-08,Monday,NO,0,,,Invoicemart,No,,,,,,,
"Dasera/Gandhi Jayanthi",HDAY_103,2025-10-02,Thursday,NO,0,,,"Axis Securities,Freecharge,ICICI Lombard,Kotak Securities,NSDL,Yes Bank,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,Aditya Birla,Invoicemart,SK Finance ",No,,,,,,,
"Deepavali ",HDAY_104,2025-10-20,Monday,NO,0,,,"Freecharge,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday",No,,,,,,,
"Goverdhan Pooja/Laxmi Puja/Diwali",HDAY_105,2025-10-21,Tuesday,NO,0,,,"Freecharge,ICICI Lombard,Kotak Securities,Aditya Birla,SK Finance ",No,,,,,,,
"Diwali 2025",HDAY_118,2025-10-21,Tuesday,NO,0,,,"Axis Securities,NSDL,Yes Bank,Invoicemart,SK Finance ,SMFG",No,,,,,,,
"Bhai Dhuj/Bhali Pratipada/Goverdhan Pooja",HDAY_106,2025-10-22,Wednesday,NO,0,,,"Axis Securities,Freecharge,ICICI Lombard,Kotak Securities,NSDL,Yes Bank,Labcorp,Aditya Birla,SK Finance ,SMFG",No,,,,,,,
"Bhai Dhuj",HDAY_117,2025-10-23,Thursday,NO,0,,,"SK Finance ",No,,,,,,,
"Guru Nanak Jayanti",HDAY_107,2025-11-05,Wednesday,NO,0,,,"Axis Securities,Freecharge,Kotak Securities,NSDL,Yes Bank,Aditya Birla,Invoicemart",No,,,,,,,
"Thanksgiving Day",HDAY_115,2025-11-27,Thursday,NO,0,"Columbia, Columbia, United States  (PSI.USML)
",PSI.USML,,No,,,,,,,
"Next day of Thanks giving",HDAY_116,2025-11-28,Friday,NO,0,"Columbia, Columbia, United States  (PSI.USML)
",PSI.USML,,No,,,,,,,
