"Onboarding Process Name",Description,"User Assignment","Onboarding Initiation - Onboarding Form - Enable","Onboarding Initiation - Onboarding Form - Mandatory","Onboarding Initiation - Onboarding Form - Template Name","Onboarding Initiation - Sign-Off Documents Cluster - Enable","Onboarding Initiation - Sign-Off Documents Cluster - Mandatory","Onboarding Initiation - Sign-Off Documents Cluster - Template Name","Onboarding Initiation - Undertaking Documents Cluster - Enable","Onboarding Initiation - Undertaking Documents Cluster - Mandatory","Onboarding Initiation - Undertaking Documents Cluster - Template Name","Onboarding Initiation - Reference Documents Cluster - Enable","Onboarding Initiation - Reference Documents Cluster - Mandatory","Onboarding Initiation - Reference Documents Cluster - Template Name","Onboarding Initiation - Onboarding Workflow - Enable","Onboarding Initiation - Onboarding Workflow - Mandatory","Onboarding Initiation - Onboarding Workflow - Template Name","Onboarding Initiation - Verification Package - Enable","Onboarding Initiation - Verification Package - Mandatory","Onboarding Initiation - Verification Package - Template Name","Onboarding Initiation - ID Verification Package - Enable","Onboarding Initiation - ID Verification Package - Mandatory","Onboarding Initiation - ID Verification Package - Template Name","Onboarding Initiation - Buddy - Enable","Onboarding Initiation - Buddy - Mandatory","Onboarding Initiation - Buddy Recommendation - Enable","Onboarding Initiation - E-Verify - Enable","Onboarding Initiation - Enable Auto Initiation of Onboarding","Onboarding Initiation - Auto Initiation of Onboarding","Onboarding Initiation - Onboarding Initiation - Number of Days","Completion - All Fields in the Onboarding Form must be approved","Completion - All Sign-off Documents must be signed","Completion - All Undertaking Documents must be approved","Completion - All Mandatory Workflow Tasks must be completed","Completion - Verification must be completed","Completion - E-Verify must be completed","Completion - Enable Auto Completion of Onboarding","Additional Configurations - Enable Employe Activation Validation","Additional Configurations - Employe Activation Validation","Additional Configurations - Employe Activation Validation - All Mandatory Workflow Tasks must be completed","Additional Configurations - Enable Auto Assignment of Onboarding SPOC","Additional Configurations - Enable Reminder Email to Candidate","Additional Configurations - Send reminder to the candidate every X days","Additional Configurations - Reminder Email to Candidate - Email Template","Additional Configurations - Enable Sync Data from Employee Profile in Onboarding Form"
"BGV Form Standard",,"All Employees",Yes,Yes,"BGV Form Standard (33)",Yes,No,,Yes,No,,Yes,No,,Yes,Yes,,Yes,No,"Default Package - Ongrid",No,No,,Yes,No,No,No,No,,,Yes,Yes,Yes,No,No,No,No,,,,No,Yes,1,"Reminder email to candidate for onboarding submission",Yes
Default,,"All Employees",Yes,Yes,,Yes,No,,Yes,No,,Yes,No,,Yes,Yes,,Yes,No,,No,No,,Yes,No,No,No,No,,,Yes,Yes,Yes,No,No,No,No,,,,No,Yes,1,"Reminder email to candidate for onboarding submission",Yes
